[[0.542, 0.8632], [0.8884, 0.0375], [0.2755, 0.6449], [0.212, 0.2087], [0.0425, 0.1797], [0.6036, 0.0067], [0.7834, 0.4936], [0.6592, 0.3061], [0.732, 0.8065], [0.6373, 0.6263]]
[[0.7509, 0.0373], [0.3036, 0.4858], [0.5547, 0.3256], [0.9317, 0.5213], [0.1124, 0.3299], [0.9811, 0.5666], [0.7226, 0.0191], [0.553, 0.0556], [0.2962, 0.7902], [0.9958, 0.7277]]
[[0.4125, 0.6749], [0.2726, 0.1423], [0.5921, 0.6915], [0.5931, 0.5984], [0.9248, 0.2647], [0.1314, 0.5927], [0.8438, 0.7217], [0.5857, 0.7409], [0.2509, 0.4014], [0.9786, 0.4171]]
[[0.274, 0.276], [0.7481, 0.1468], [0.8059, 0.0721], [0.7162, 0.6936], [0.5272, 0.5642], [0.0084, 0.6098], [0.6183, 0.6807], [0.8832, 0.9754], [0.5878, 0.6109], [0.8544, 0.3355]]
[[0.3407, 0.9746], [0.3044, 0.3662], [0.4312, 0.0556], [0.9039, 0.4881], [0.6564, 0.9052], [0.9236, 0.6232], [0.1271, 0.6568], [0.7594, 0.6766], [0.1235, 0.2785], [0.5885, 0.313]]
[[0.1943, 0.5347], [0.3033, 0.5089], [0.1713, 0.3198], [0.2064, 0.6532], [0.1916, 0.1111], [0.6358, 0.4019], [0.8643, 0.646], [0.1353, 0.7523], [0.4975, 0.4828], [0.7347, 0.6313]]
[[0.9326, 0.1794], [0.3903, 0.6891], [0.1067, 0.2143], [0.5587, 0.6169], [0.3564, 0.5989], [0.583, 0.6917], [0.6106, 0.47], [0.6387, 0.9859], [0.5583, 0.4621], [0.8728, 0.1767]]
[[0.6904, 0.693], [0.1411, 0.184], [0.6351, 0.6996], [0.8978, 0.1491], [0.7815, 0.4808], [0.0823, 0.6319], [0.645, 0.0848], [0.3685, 0.6481], [0.3904, 0.8866], [0.1347, 0.1528]]
[[0.3736, 0.0656], [0.0741, 0.0025], [0.3605, 0.9106], [0.6555, 0.5837], [0.3904, 0.1767], [0.5175, 0.9123], [0.6506, 0.2079], [0.2138, 0.0982], [0.2334, 0.0852], [0.4503, 0.5591]]
[[0.7014, 0.9922], [0.3853, 0.2091], [0.5626, 0.739], [0.4311, 0.6281], [0.1181, 0.7736], [0.7322, 0.5827], [0.0177, 0.4463], [0.3704, 0.6537], [0.3363, 0.6308], [0.5055, 0.1013]]
[[0.8509, 0.7065], [0.4291, 0.6171], [0.9982, 0.3752], [0.4458, 0.2634], [0.5589, 0.4921], [0.3009, 0.123], [0.8705, 0.5643], [0.6222, 0.0042], [0.7001, 0.2489], [0.7497, 0.8141]]
[[0.0926, 0.0426], [0.4949, 0.3169], [0.8587, 0.1148], [0.0557, 0.0162], [0.6097, 0.5641], [0.7983, 0.9772], [0.2667, 0.8724], [0.7106, 0.8697], [0.8103, 0.9706], [0.6036, 0.4674]]
[[0.988, 0.0112], [0.3713, 0.9266], [0.641, 0.0901], [0.1303, 0.56], [0.495, 0.651], [0.3032, 0.1921], [0.1326, 0.89], [0.013, 0.8451], [0.9784, 0.7648], [0.4021, 0.8469]]
[[0.6335, 0.408], [0.6255, 0.6746], [0.7406, 0.0449], [0.2052, 0.0985], [0.2699, 0.3539], [0.2816, 0.1344], [0.5951, 0.9505], [0.2917, 0.0715], [0.2378, 0.9037], [0.628, 0.5664]]
[[0.1558, 0.3643], [0.4995, 0.8034], [0.1571, 0.5247], [0.4585, 0.4646], [0.578, 0.7063], [0.8735, 0.3796], [0.7522, 0.6783], [0.9985, 0.5544], [0.5622, 0.9453], [0.3584, 0.8595]]
[[0.6237, 0.3279], [0.2023, 0.4774], [0.0305, 0.7535], [0.7791, 0.3822], [0.3276, 0.4553], [0.1588, 0.3769], [0.453, 0.6284], [0.387, 0.8146], [0.0888, 0.0308], [0.8593, 0.4672]]
[[0.5609, 0.5056], [0.3823, 0.6105], [0.8057, 0.2719], [0.2183, 0.2669], [0.3602, 0.6051], [0.2633, 0.3098], [0.6359, 0.1661], [0.4112, 0.3455], [0.4553, 0.012], [0.6866, 0.3371]]
[[0.2288, 0.2074], [0.8282, 0.5009], [0.0115, 0.9838], [0.1959, 0.6153], [0.8316, 0.5001], [0.0816, 0.9237], [0.7558, 0.1818], [0.6689, 0.9533], [0.5592, 0.0301], [0.4178, 0.5969]]
[[0.7704, 0.7337], [0.4946, 0.0763], [0.4567, 0.4221], [0.7096, 0.1152], [0.748, 0.6313], [0.5597, 0.5865], [0.3464, 0.7006], [0.77, 0.7211], [0.4377, 0.2754], [0.6851, 0.8292]]
[[0.872, 0.1701], [0.9075, 0.2631], [0.1148, 0.6362], [0.2773, 0.3351], [0.9635, 0.2366], [0.8613, 0.6916], [0.0142, 0.9943], [0.4962, 0.2731], [0.6336, 0.9448], [0.4698, 0.5472]]
[[0.3424, 0.9612], [0.421, 0.9345], [0.9164, 0.7083], [0.7985, 0.923], [0.0591, 0.184], [0.9793, 0.4746], [0.9975, 0.4911], [0.4378, 0.5288], [0.4732, 0.6108], [0.7744, 0.1934]]
[[0.8077, 0.4758], [0.1091, 0.9302], [0.7926, 0.7197], [0.4764, 0.923], [0.4372, 0.1342], [0.588, 0.2283], [0.9472, 0.0263], [0.633, 0.7395], [0.1547, 0.2245], [0.2667, 0.4984]]
[[0.5049, 0.3889], [0.0027, 0.2111], [0.5636, 0.3382], [0.5656, 0.735], [0.1704, 0.6053], [0.3438, 0.6548], [0.8433, 0.1917], [0.3922, 0.0567], [0.2536, 0.6541], [0.1419, 0.5691]]
[[0.9488, 0.5494], [0.9735, 0.6315], [0.8801, 0.6379], [0.0245, 0.3885], [0.883, 0.7356], [0.4449, 0.0667], [0.014, 0.8782], [0.2115, 0.3823], [0.2825, 0.4498], [0.1012, 0.1279]]
[[0.3399, 0.5825], [0.4882, 0.7707], [0.8867, 0.1814], [0.2372, 0.8247], [0.7045, 0.2938], [0.8594, 0.7378], [0.054, 0.6363], [0.3002, 0.6466], [0.0226, 0.9404], [0.9662, 0.0769]]
[[0.9681, 0.8764], [0.9984, 0.5991], [0.9189, 0.2455], [0.5607, 0.5728], [0.3824, 0.1034], [0.9332, 0.6468], [0.3229, 0.7524], [0.9178, 0.8367], [0.0596, 0.4933], [0.5063, 0.3545]]
[[0.8531, 0.8067], [0.5789, 0.5539], [0.6558, 0.5651], [0.018, 0.7874], [0.6753, 0.0306], [0.1163, 0.0071], [0.8808, 0.0218], [0.4147, 0.7367], [0.3528, 0.3236], [0.4207, 0.2157]]
[[0.4725, 0.6491], [0.9683, 0.0933], [0.4382, 0.5024], [0.9799, 0.2569], [0.6928, 0.4162], [0.3825, 0.7802], [0.4638, 0.3717], [0.9616, 0.7809], [0.4534, 0.1378], [0.7072, 0.8052]]
[[0.7194, 0.2578], [0.5532, 0.4455], [0.0782, 0.3514], [0.804, 0.3624], [0.7843, 0.4262], [0.2869, 0.9749], [0.2298, 0.0602], [0.7486, 0.1782], [0.1175, 0.5985], [0.8807, 0.8177]]
[[0.1608, 0.8008], [0.1604, 0.6233], [0.7751, 0.8801], [0.8042, 0.9254], [0.08, 0.2947], [0.67, 0.1068], [0.8345, 0.7331], [0.7735, 0.9768], [0.4249, 0.5832], [0.8595, 0.0967]]
[[0.8511, 0.9583], [0.9276, 0.766], [0.1058, 0.5467], [0.4855, 0.5907], [0.1815, 0.0865], [0.4084, 0.9883], [0.6778, 0.2246], [0.8938, 0.0137], [0.4803, 0.7515], [0.311, 0.8611]]
[[0.4876, 0.8742], [0.7777, 0.3181], [0.582, 0.8775], [0.3853, 0.6897], [0.9652, 0.0163], [0.1203, 0.5206], [0.9115, 0.2922], [0.327, 0.5158], [0.1722, 0.0972], [0.8619, 0.2178]]
[[0.3779, 0.6876], [0.2173, 0.0515], [0.5622, 0.5475], [0.4109, 0.3553], [0.9803, 0.5718], [0.9558, 0.5575], [0.9365, 0.8236], [0.345, 0.5803], [0.0215, 0.749], [0.4153, 0.5286]]
[[0.0584, 0.859], [0.374, 0.2538], [0.5414, 0.1027], [0.4562, 0.0688], [0.3256, 0.2283], [0.7521, 0.1346], [0.0452, 0.1608], [0.7691, 0.7383], [0.0172, 0.4627], [0.4574, 0.9358]]
[[0.7731, 0.6776], [0.4186, 0.659], [0.0217, 0.4953], [0.7357, 0.831], [0.247, 0.7565], [0.2943, 0.266], [0.2422, 0.7175], [0.5701, 0.8384], [0.5429, 0.5364], [0.9443, 0.34]]
[[0.1445, 0.704], [0.3609, 0.3275], [0.581, 0.7374], [0.8069, 0.9722], [0.1226, 0.414], [0.261, 0.7321], [0.7581, 0.7799], [0.3953, 0.658], [0.9757, 0.7193], [0.7886, 0.2694]]
[[0.2053, 0.7324], [0.5423, 0.931], [0.0596, 0.7559], [0.4912, 0.1907], [0.9517, 0.6759], [0.7001, 0.9695], [0.4694, 0.6116], [0.9336, 0.0953], [0.3318, 0.2072], [0.1418, 0.8149]]
[[0.3721, 0.46], [0.1552, 0.1847], [0.4566, 0.5628], [0.1285, 0.7106], [0.0947, 0.9847], [0.6776, 0.6057], [0.8673, 0.4304], [0.0979, 0.294], [0.8836, 0.7567], [0.6278, 0.1568]]
[[0.6382, 0.8126], [0.4342, 0.87], [0.7405, 0.9445], [0.7394, 0.5724], [0.2561, 0.6072], [0.361, 0.5415], [0.8766, 0.067], [0.9928, 0.4412], [0.4407, 0.5138], [0.7006, 0.4]]
[[0.5407, 0.6221], [0.7843, 0.2001], [0.587, 0.9557], [0.584, 0.9618], [0.57, 0.1088], [0.1194, 0.8283], [0.9891, 0.6102], [0.3987, 0.4843], [0.6149, 0.1506], [0.4086, 0.1347]]
[[0.0872, 0.7401], [0.3816, 0.3616], [0.9457, 0.0261], [0.0149, 0.5714], [0.4138, 0.7823], [0.4686, 0.8157], [0.7217, 0.9659], [0.7145, 0.3674], [0.9846, 0.0176], [0.0757, 0.8615]]
[[0.4103, 0.9996], [0.8795, 0.2264], [0.672, 0.0743], [0.8034, 0.8185], [0.1851, 0.211], [0.0594, 0.9614], [0.931, 0.7975], [0.5929, 0.6873], [0.4981, 0.3893], [0.7941, 0.2991]]
[[0.3202, 0.105], [0.0705, 0.5893], [0.0185, 0.5764], [0.2084, 0.5781], [0.6264, 0.9184], [0.5907, 0.2948], [0.7006, 0.6243], [0.3408, 0.3125], [0.0755, 0.4032], [0.7544, 0.8854]]
[[0.2694, 0.2627], [0.1424, 0.8854], [0.4393, 0.3382], [0.6804, 0.7993], [0.3488, 0.9873], [0.3974, 0.9991], [0.162, 0.4902], [0.6134, 0.4553], [0.7001, 0.4327], [0.315, 0.2134]]
[[0.4269, 0.08], [0.7977, 0.9236], [0.2118, 0.8687], [0.4133, 0.1787], [0.5783, 0.3777], [0.0015, 0.7344], [0.5985, 0.7192], [0.5856, 0.0066], [0.8903, 0.1255], [0.3898, 0.6795]]
[[0.128, 0.5495], [0.1391, 0.1453], [0.2505, 0.4877], [0.6247, 0.3668], [0.6398, 0.9928], [0.3104, 0.2237], [0.9222, 0.2461], [0.344, 0.4487], [0.3689, 0.0067], [0.2328, 0.9571]]
[[0.3398, 0.5822], [0.4286, 0.1936], [0.6814, 0.9187], [0.048, 0.4359], [0.1275, 0.3333], [0.306, 0.0501], [0.1439, 0.1316], [0.4042, 0.7675], [0.5078, 0.762], [0.6043, 0.819]]
[[0.8816, 0.648], [0.0907, 0.6608], [0.8987, 0.6852], [0.8047, 0.2837], [0.8326, 0.5011], [0.2605, 0.6629], [0.2962, 0.229], [0.6463, 0.2631], [0.7044, 0.6448], [0.2146, 0.1709]]
[[0.567, 0.1981], [0.786, 0.306], [0.1352, 0.1403], [0.1707, 0.7779], [0.8414, 0.6741], [0.8585, 0.0921], [0.0288, 0.3741], [0.9627, 0.6262], [0.8928, 0.215], [0.2836, 0.6676]]
[[0.624, 0.3244], [0.7107, 0.7162], [0.7864, 0.4926], [0.6536, 0.2196], [0.5099, 0.5358], [0.9446, 0.8729], [0.4055, 0.9435], [0.4258, 0.9715], [0.371, 0.1827], [0.8821, 0.0328]]
[[0.9666, 0.7863], [0.0494, 0.9688], [0.5611, 0.3814], [0.7163, 0.4604], [0.6559, 0.7258], [0.1718, 0.9696], [0.4813, 0.8645], [0.491, 0.4641], [0.3722, 0.9027], [0.9959, 0.5299]]
[[0.7681, 0.1456], [0.7713, 0.7106], [0.1529, 0.7443], [0.2078, 0.0511], [0.3941, 0.1962], [0.6574, 0.7508], [0.0839, 0.9271], [0.7146, 0.3186], [0.4364, 0.6479], [0.6317, 0.8945]]
[[0.7285, 0.6628], [0.8859, 0.7859], [0.9474, 0.0523], [0.7753, 0.8318], [0.787, 0.9327], [0.6298, 0.9646], [0.9009, 0.0051], [0.0513, 0.3922], [0.9516, 0.4759], [0.8718, 0.8662]]
[[0.1149, 0.1125], [0.8561, 0.2892], [0.4987, 0.0894], [0.9195, 0.1626], [0.2736, 0.6888], [0.5399, 0.2873], [0.4908, 0.1517], [0.9972, 0.0972], [0.9742, 0.4056], [0.7414, 0.8626]]
[[0.6382, 0.2179], [0.3072, 0.9478], [0.335, 0.9388], [0.5572, 0.9473], [0.744, 0.9013], [0.2655, 0.0929], [0.5044, 0.1488], [0.0653, 0.1227], [0.2192, 0.3789], [0.9575, 0.7248]]
[[0.1911, 0.4546], [0.2888, 0.6751], [0.2856, 0.7153], [0.986, 0.1698], [0.011, 0.9756], [0.7614, 0.3933], [0.6012, 0.1752], [0.2611, 0.4974], [0.8266, 0.5598], [0.2558, 0.6661]]
[[0.8544, 0.2896], [0.427, 0.1928], [0.7991, 0.0157], [0.9131, 0.3154], [0.7372, 0.0622], [0.7761, 0.9967], [0.7752, 0.7753], [0.2497, 0.4672], [0.056, 0.9824], [0.7073, 0.2932]]
[[0.4273, 0.2974], [0.8755, 0.6031], [0.5787, 0.1409], [0.4441, 0.6432], [0.2357, 0.9171], [0.417, 0.5701], [0.3255, 0.9422], [0.0469, 0.4642], [0.3091, 0.2574], [0.8441, 0.15]]
[[0.7362, 0.9373], [0.4243, 0.8399], [0.0179, 0.1301], [0.289, 0.8782], [0.9085, 0.3967], [0.8029, 0.6665], [0.5666, 0.7741], [0.4364, 0.7662], [0.5737, 0.5979], [0.2204, 0.9539]]
[[0.80671, 0.46809], [0.62462, 0.49205], [0.79038, 0.79022], [0.72246, 0.67109], [0.052321, 0.16187], [0.42154, 0.43296], [0.61185, 0.67911], [0.61664, 0.00030607], [0.10189, 0.78244], [0.94556, 0.28647]]
[[0.2864, 0.3616], [0.0778, 0.9579], [0.1891, 0.0401], [0.9559, 0.9782], [0.1863, 0.0053], [0.0873, 0.5321], [0.7879, 0.1539], [0.7993, 0.6739], [0.581, 0.8458], [0.5428, 0.9208]]
[[0.6989, 0.0849], [0.2172, 0.7434], [0.2945, 0.4013], [0.7926, 0.7454], [0.7766, 0.4083], [0.1887, 0.399], [0.94, 0.8467], [0.8918, 0.8545], [0.9902, 0.2543], [0.7409, 0.3876]]
[[0.2032, 0.034], [0.408, 0.4219], [0.4684, 0.9224], [0.6693, 0.605], [0.1252, 0.0906], [0.2783, 0.6093], [0.9964, 0.8286], [0.7301, 0.5836], [0.2379, 0.959], [0.8978, 0.7304]]
[[0.2539, 0.144], [0.0688, 0.4366], [0.7757, 0.4366], [0.0499, 0.205], [0.4622, 0.0385], [0.2641, 0.6943], [0.0785, 0.2706], [0.9246, 0.3445], [0.3807, 0.2006], [0.119, 0.5052]]
[[0.449, 0.1243], [0.913, 0.4689], [0.9546, 0.1543], [0.8721, 0.1638], [0.8008, 0.2867], [0.9766, 0.8653], [0.1044, 0.5478], [0.0603, 0.8653], [0.6329, 0.771], [0.1955, 0.0864]]
[[0.9937, 0.4554], [0.5868, 0.6376], [0.8373, 0.2072], [0.5548, 0.2933], [0.1337, 0.6683], [0.278, 0.4636], [0.5627, 0.2197], [0.1977, 0.3214], [0.0937, 0.2814], [0.8536, 0.3776]]
[[0.284, 0.1599], [0.9688, 0.0657], [0.9514, 0.7267], [0.1099, 0.894], [0.802, 0.9146], [0.514, 0.3169], [0.5614, 0.7593], [0.9912, 0.8038], [0.9786, 0.0473], [0.5739, 0.8203]]
[[0.5651, 0.1931], [0.3456, 0.1588], [0.5415, 0.2788], [0.5173, 0.9303], [0.1849, 0.8384], [0.4736, 0.8507], [0.5557, 0.5405], [0.5857, 0.45], [0.1926, 0.8531], [0.1242, 0.9566]]
[[0.5645, 0.6419], [0.8251, 0.0333], [0.3976, 0.5653], [0.214, 0.2058], [0.2604, 0.9812], [0.9778, 0.915], [0.1928, 0.8108], [0.5757, 0.0189], [0.4182, 0.9299], [0.3747, 0.0519]]
[[0.4144, 0.9245], [0.7799, 0.7259], [0.5113, 0.6649], [0.5401, 0.2642], [0.5168, 0.1192], [0.2108, 0.1042], [0.6452, 0.6066], [0.8549, 0.9437], [0.5861, 0.6549], [0.9239, 0.3535]]
[[0.8848, 0.2564], [0.6604, 0.4719], [0.3008, 0.8232], [0.5641, 0.0144], [0.2702, 0.5518], [0.6315, 0.1687], [0.9422, 0.6975], [0.7852, 0.461], [0.3633, 0.3058], [0.9912, 0.6843]]
[[0.4991, 0.2435], [0.017, 0.2267], [0.0972, 0.009], [0.4458, 0.4603], [0.9944, 0.3818], [0.4468, 0.8589], [0.1322, 0.8335], [0.5476, 0.2249], [0.894, 0.9415], [0.8405, 0.0876]]
[[0.7601, 0.6445], [0.0558, 0.7743], [0.5136, 0.3439], [0.3648, 0.5023], [0.7024, 0.7054], [0.853, 0.974], [0.5476, 0.243], [0.4807, 0.0467], [0.041, 0.1348], [0.6135, 0.356]]
[[0.9301, 0.6043], [0.1746, 0.492], [0.8134, 0.2509], [0.144, 0.5058], [0.3518, 0.0684], [0.3337, 0.0283], [0.6592, 0.957], [0.1447, 0.2394], [0.3699, 0.2295], [0.1615, 0.811]]
[[0.9489, 0.9853], [0.7593, 0.0498], [0.099, 0.6904], [0.5768, 0.8146], [0.8091, 0.4653], [0.0053, 0.6288], [0.2792, 0.1801], [0.8377, 0.828], [0.5164, 0.8071], [0.8488, 0.861]]
[[0.5475, 0.1619], [0.5228, 0.0554], [0.2912, 0.6514], [0.4463, 0.2526], [0.4937, 0.9315], [0.9043, 0.8898], [0.6503, 0.9948], [0.6055, 0.3147], [0.4129, 0.4347], [0.233, 0.2577]]
[[0.556, 0.9671], [0.5694, 0.1054], [0.6924, 0.1226], [0.5629, 0.9186], [0.372, 0.2941], [0.678, 0.2537], [0.8077, 0.3447], [0.9874, 0.0567], [0.2812, 0.5857], [0.44, 0.9456]]
[[0.7662, 0.5626], [0.0611, 0.1306], [0.6615, 0.1532], [0.067, 0.4785], [0.8413, 0.1498], [0.8682, 0.4274], [0.1609, 0.4759], [0.8179, 0.5242], [0.9481, 0.9639], [0.8017, 0.8191]]
[[0.168, 0.5585], [0.4287, 0.3804], [0.2867, 0.8089], [0.3261, 0.909], [0.2522, 0.9734], [0.227, 0.9188], [0.5863, 0.0552], [0.8294, 0.8904], [0.731, 0.3697], [0.6274, 0.57]]
[[0.0264, 0.4981], [0.6165, 0.6458], [0.2199, 0.6041], [0.9732, 0.6313], [0.5334, 0.7856], [0.0411, 0.8142], [0.9108, 0.6773], [0.5569, 0.8452], [0.5866, 0.6426], [0.7454, 0.5913]]
[[0.0764, 0.2786], [0.3379, 0.6698], [0.5091, 0.5135], [0.4274, 0.6421], [0.4401, 0.2827], [0.3589, 0.6029], [0.4334, 0.1642], [0.8672, 0.7742], [0.0297, 0.8887], [0.7449, 0.429]]
[[0.806, 0.5394], [0.2025, 0.2738], [0.2044, 0.145], [0.6364, 0.8528], [0.9781, 0.4215], [0.7296, 0.1474], [0.5048, 0.7507], [0.6389, 0.5439], [0.5761, 0.9425], [0.3613, 0.3644]]
[[0.3553, 0.0466], [0.6365, 0.5335], [0.0129, 0.3008], [0.3388, 0.7509], [0.7951, 0.3933], [0.6711, 0.3214], [0.835, 0.3073], [0.4533, 0.8085], [0.366, 0.9532], [0.5437, 0.2188]]
[[0.7289, 0.5625], [0.8086, 0.4239], [0.5734, 0.4026], [0.8666, 0.7375], [0.7518, 0.2306], [0.1821, 0.6715], [0.9288, 0.8944], [0.2535, 0.6124], [0.3715, 0.4938], [0.9897, 0.2728]]
[[0.3653, 0.1698], [0.7674, 0.1415], [0.1619, 0.0601], [0.1983, 0.3282], [0.056, 0.9346], [0.396, 0.3176], [0.8146, 0.2452], [0.4505, 0.5111], [0.4121, 0.1708], [0.3659, 0.6335]]
[[0.1018, 0.88], [0.0455, 0.332], [0.5542, 0.2164], [0.8306, 0.719], [0.1132, 0.9508], [0.1137, 0.4596], [0.0992, 0.2215], [0.1931, 0.8305], [0.0137, 0.2649], [0.7856, 0.9916]]
[[0.1614, 0.052], [0.3143, 0.1737], [0.1446, 0.9021], [0.5699, 0.646], [0.0919, 0.7088], [0.907, 0.1441], [0.0974, 0.8108], [0.0516, 0.6352], [0.548, 0.0807], [0.5742, 0.8965]]
[[0.9812, 0.7559], [0.0551, 0.5808], [0.0967, 0.6768], [0.211, 0.647], [0.0456, 0.5518], [0.5869, 0.6532], [0.7039, 0.0433], [0.6643, 0.2351], [0.7812, 0.3241], [0.3097, 0.7614]]
[[0.5771, 0.875], [0.5015, 0.8553], [0.6546, 0.6666], [0.7389, 0.7384], [0.611, 0.7341], [0.3499, 0.3981], [0.3662, 0.9664], [0.8662, 0.3167], [0.5689, 0.4108], [0.5656, 0.2745]]
[[0.854, 0.3319], [0.3312, 0.4406], [0.5206, 0.8099], [0.9579, 0.4933], [0.2346, 0.2402], [0.0544, 0.9236], [0.1242, 0.2934], [0.617, 0.9179], [0.0742, 0.2509], [0.1796, 0.6977]]
[[0.6662, 0.1981], [0.7737, 0.7127], [0.6868, 0.1767], [0.9085, 0.1506], [0.4302, 0.0523], [0.3242, 0.7068], [0.5968, 0.8478], [0.7388, 0.9882], [0.7922, 0.1235], [0.6748, 0.6393]]
[[0.5488, 0.6706], [0.5308, 0.4247], [0.5697, 0.9994], [0.7824, 0.979], [0.5255, 0.0041], [0.2109, 0.9967], [0.6654, 0.5261], [0.1219, 0.0416], [0.2367, 0.5066], [0.4651, 0.1087]]
[[0.597, 0.2496], [0.777, 0.1707], [0.3109, 0.6941], [0.7704, 0.3252], [0.196, 0.3098], [0.7368, 0.0866], [0.4555, 0.1833], [0.3927, 0.5313], [0.1918, 0.7451], [0.2814, 0.8871]]
[[0.9328, 0.5544], [0.7464, 0.6006], [0.948, 0.7511], [0.1452, 0.7126], [0.6809, 0.3997], [0.4262, 0.6415], [0.401, 0.0661], [0.3573, 0.7255], [0.4704, 0.6071], [0.5895, 0.507]]
[[0.8122, 0.9602], [0.6725, 0.0517], [0.7249, 0.2614], [0.2062, 0.5989], [0.9541, 0.5154], [0.548, 0.2449], [0.6928, 0.9755], [0.3366, 0.1532], [0.0659, 0.1382], [0.0435, 0.2729]]
[[0.6955, 0.5671], [0.3568, 0.5979], [0.954, 0.0161], [0.229, 0.2793], [0.5492, 0.9441], [0.0727, 0.6587], [0.3308, 0.7876], [0.086, 0.9984], [0.3626, 0.3128], [0.542, 0.0598]]
[[0.2994, 0.3692], [0.8006, 0.3393], [0.3434, 0.0379], [0.983, 0.3982], [0.6802, 0.8265], [0.879, 0.4747], [0.7869, 0.5933], [0.6951, 0.2005], [0.857, 0.8073], [0.5815, 0.7278]]
[[0.306, 0.1951], [0.7962, 0.431], [0.2976, 0.1828], [0.5129, 0.6634], [0.074, 0.5918], [0.3402, 0.7659], [0.4713, 0.2333], [0.2369, 0.7456], [0.9424, 0.641], [0.6855, 0.4465]]
[[0.2086, 0.6245], [0.5768, 0.1872], [0.5279, 0.0235], [0.1187, 0.8415], [0.8748, 0.3639], [0.5879, 0.4318], [0.0464, 0.3581], [0.8318, 0.2505], [0.0123, 0.0231], [0.9265, 0.2795]]
[[0.9538, 0.3687], [0.1929, 0.2861], [0.4401, 0.2836], [0.5869, 0.0041], [0.8938, 0.568], [0.2999, 0.9989], [0.5932, 0.1057], [0.3035, 0.8627], [0.5695, 0.6], [0.0953, 0.5822]]
[[0.2997, 0.5619], [0.697, 0.2676], [0.4801, 0.3382], [0.5868, 0.8106], [0.9353, 0.6236], [0.9938, 0.1027], [0.0256, 0.2293], [0.9493, 0.3899], [0.4503, 0.7286], [0.1891, 0.4265]]
[[0.1728, 0.3389], [0.8528, 0.5991], [0.6897, 0.9987], [0.1299, 0.4848], [0.4057, 0.9565], [0.327, 0.1488], [0.558, 0.5553], [0.3191, 0.5266], [0.7718, 0.3777], [0.5501, 0.0062]]
[[0.6402, 0.6956], [0.7718, 0.8816], [0.9436, 0.632], [0.6591, 0.4514], [0.1917, 0.5165], [0.1566, 0.0597], [0.6004, 0.2937], [0.5576, 0.8868], [0.9667, 0.6232], [0.0466, 0.809]]
[[0.0071, 0.148], [0.1705, 0.5071], [0.7802, 0.639], [0.8, 0.1421], [0.6292, 0.6733], [0.0326, 0.1532], [0.8194, 0.527], [0.6705, 0.3041], [0.2193, 0.3001], [0.7555, 0.8771]]
[[0.4997, 0.3843], [0.1773, 0.1965], [0.8037, 0.7759], [0.2642, 0.653], [0.1392, 0.8841], [0.5476, 0.0857], [0.5682, 0.6225], [0.5302, 0.428], [0.519, 0.7725], [0.4818, 0.9443]]
[[0.7553, 0.3321], [0.6973, 0.2375], [0.1098, 0.2874], [0.9028, 0.3618], [0.1076, 0.9479], [0.6335, 0.8996], [0.1706, 0.9504], [0.439, 0.3486], [0.4972, 0.0837], [0.2053, 0.4363]]
[[0.1073, 0.4351], [0.1453, 0.409], [0.933, 0.6674], [0.4805, 0.8637], [0.9079, 0.5477], [0.2055, 0.5979], [0.1061, 0.3605], [0.9322, 0.5975], [0.8878, 0.6411], [0.6003, 0.7888]]
[[0.4914, 0.8561], [0.8027, 0.2871], [0.359, 0.1155], [0.271, 0.2059], [0.1118, 0.6279], [0.5684, 0.001], [0.835, 0.7427], [0.7185, 0.4865], [0.9052, 0.8355], [0.9522, 0.7055]]
[[0.3763, 0.7856], [0.7922, 0.8206], [0.1021, 0.6019], [0.1638, 0.82], [0.6974, 0.1143], [0.0319, 0.0113], [0.2295, 0.8856], [0.7152, 0.3972], [0.1712, 0.0784], [0.887, 0.4871]]
[[0.3733, 0.8587], [0.903, 0.0789], [0.777, 0.7078], [0.0363, 0.3221], [0.5257, 0.4168], [0.4504, 0.1563], [0.2546, 0.073], [0.6881, 0.7545], [0.6063, 0.8467], [0.5902, 0.261]]
[[0.4379, 0.377], [0.6721, 0.8056], [0.0986, 0.5404], [0.1358, 0.2336], [0.3111, 0.7711], [0.8797, 0.2222], [0.2718, 0.296], [0.8664, 0.8217], [0.9788, 0.6002], [0.1742, 0.4749]]
[[0.7887, 0.8898], [0.2874, 0.2742], [0.1504, 0.624], [0.0572, 0.4903], [0.2319, 0.8734], [0.1799, 0.4159], [0.9737, 0.5977], [0.8028, 0.6851], [0.362, 0.5473], [0.7113, 0.9709]]
[[0.951, 0.6859], [0.9308, 0.059], [0.0766, 0.5359], [0.7696, 0.9577], [0.4873, 0.7855], [0.8692, 0.9737], [0.0025, 0.2279], [0.4274, 0.8429], [0.9746, 0.838], [0.3255, 0.7668]]
[[0.3693, 0.7485], [0.2311, 0.4734], [0.6915, 0.7193], [0.8542, 0.9866], [0.2774, 0.7679], [0.0902, 0.1546], [0.6619, 0.2108], [0.3817, 0.2461], [0.3767, 0.4644], [0.3083, 0.7351]]
[[0.4815, 0.2843], [0.186, 0.7878], [0.4073, 0.8435], [0.1289, 0.7861], [0.506, 0.5315], [0.8154, 0.2106], [0.9458, 0.6054], [0.0033, 0.519], [0.3365, 0.069], [0.8237, 0.0086]]
